wl	n
0.4368	1.6169649731974
0.4430	1.615324913557
0.4491	1.6137854760669
0.4553	1.6122915091857
0.4614	1.6108869841321
0.4676	1.6095218672929
0.4737	1.6082365898759
0.4799	1.6069856003913
0.4860	1.605806158261
0.4922	1.6046566568759
0.4983	1.6035715061225
0.5045	1.6025125873863
0.5106	1.6015117438225
0.5168	1.6005339539551
0.5229	1.599608743092
0.5291	1.5987038506888
0.5352	1.5978467038482
0.5414	1.5970075122853
0.5475	1.5962117992651
0.5537	1.5954319922665
0.5598	1.5946918831777
0.5660	1.5939658969383
0.5721	1.593276247483
0.5783	1.5925991642024
0.5844	1.5919554199091
0.5906	1.5913228786928
0.5968	1.5907112915821
0.6029	1.5901291165102
0.6091	1.5895563996035
0.6152	1.5890108142055
0.6214	1.5884736974208
0.6275	1.5879616577404
0.6337	1.5874572120031
0.6398	1.5869759879835
0.6460	1.5865015829577
0.6521	1.5860487199634
0.6583	1.5856019878316
0.6644	1.5851752736153
0.6706	1.5847540779281
0.6767	1.5843515141725
0.6829	1.5839539229677
0.6890	1.583573700686
0.6952	1.5831979632139
0.7013	1.5828384414179
0.7075	1.5824829679277
0.7136	1.5821426550723
0.7198	1.5818059992026
0.7259	1.5814835369982
0.7321	1.5811643803937
0.7382	1.5808585296454
0.7444	1.5805556684805
0.7506	1.580260597856
0.7567	1.5799776298077
0.7629	1.5796972340288
0.7690	1.5794282187388
0.7752	1.579161531897
0.7813	1.5789055588248
0.7875	1.5786516938567
0.7936	1.5784079261541
0.7998	1.5781660671827
0.8059	1.5779337345968
0.8121	1.5777031301335
0.8182	1.5774815226994
0.8244	1.5772614795962
0.8305	1.5770499420214
0.8367	1.5768398200806
0.8428	1.5766377467338
0.8490	1.5764369538933
0.8551	1.5762437843245
0.8613	1.5760517723498
0.8674	1.5758669872783
0.8736	1.5756832479003
0.8797	1.5755063656145
0.8859	1.5753304270614
0.8920	1.5751610001827
0.8982	1.5749924240597
0.9044	1.5748274026701
0.9105	1.5746684151073
0.9167	1.5745101535199
0.9228	1.5743576332372
0.9290	1.5742057648952
0.9351	1.5740593636361
0.9413	1.5739135466451
0.9474	1.5737729394217
0.9536	1.5736328545737
0.9597	1.5734977378152
0.9659	1.5733630867956
0.9720	1.5732331766677
0.9782	1.573103680427
0.9843	1.5729787113032
0.9905	1.5728541085749
0.9966	1.5727338316459
1.003	1.5726100459686
1.009	1.5724961788304
1.015	1.5723843709055
1.021	1.5722745725719
1.027	1.5721667357013
1.034	1.5720433428801
1.040	1.5719395975265
1.046	1.5718376704839
1.052	1.5717375192919
