wl	n
0.40	1.62552
0.41	1.62163
0.42	1.61834
0.43	1.61546
0.44	1.61279
0.45	1.61037
0.46	1.60797
0.47	1.60594
0.48	1.60372
0.49	1.60201
0.50	1.60021
0.51	1.59862
0.52	1.59721
0.53	1.59587
0.54	1.59443
0.55	1.59338
0.56	1.59217
0.57	1.59084
0.58	1.58996
0.59	1.58898
0.60	1.58820
0.61	1.58734
0.62	1.58653
0.63	1.58554
0.64	1.58493
0.65	1.58426
0.66	1.58359
0.67	1.58300
0.68	1.58237
0.69	1.58180
0.70	1.58128
0.71	1.58061
0.72	1.58022
0.73	1.57972
0.74	1.57926
0.75	1.57889
0.76	1.57821
0.77	1.57770
0.78	1.57746
0.79	1.57703
0.80	1.57674
0.81	1.57637
0.82	1.57618
0.83	1.57580
0.84	1.57563
0.85	1.57539
0.86	1.57513
0.87	1.57489
0.88	1.57451
0.89	1.57437
0.90	1.57409
0.91	1.57387
0.92	1.57362
0.93	1.57343
0.94	1.57315
0.95	1.57292
0.96	1.57285
0.97	1.57256
0.98	1.57231
0.99	1.57216
1.00	1.57211
1.01	1.57197
1.02	1.57197
1.03	1.56996
1.04	1.57013
1.05	1.56990
1.06	1.56958
1.07	1.56904
1.08	1.56938
1.09	1.56916
1.10	1.56904
1.11	1.56911
1.12	1.56854
1.13	1.56870
1.14	1.56779
1.15	1.56805
1.16	1.56801
1.17	1.56851
1.18	1.56822
1.19	1.56803
1.20	1.56767
1.21	1.56757
1.22	1.56707
1.23	1.56707
1.24	1.56665
1.25	1.56688
1.26	1.56667
1.27	1.56692
1.28	1.56712
1.29	1.56643
1.30	1.56571
1.31	1.56643
1.32	1.56600
1.33	1.56583
1.34	1.56593
1.35	1.56618
1.36	1.56572
1.37	1.56639
1.38	1.56551
1.39	1.56555
1.40	1.56579
1.41	1.56531
1.42	1.56534
1.43	1.56508
1.44	1.56510
1.45	1.56522
1.46	1.56532
1.47	1.56522
1.48	1.56510
1.49	1.56533
1.50	1.56463
1.51	1.56471
1.52	1.56419
1.53	1.56448
1.54	1.56478
1.55	1.56484
1.56	1.56451
1.57	1.56462
1.58	1.56449
1.59	1.56403
1.60	1.56384
1.61	1.56384
1.62	1.56447
1.63	1.56402
1.64	1.56432
1.65	1.56402
1.66	1.56391
1.67	1.56342
1.68	1.56376
1.69	1.56360
1.70	1.56341
1.71	1.56341
1.72	1.56363
1.73	1.56390
1.74	1.56383
1.75	1.56336
1.76	1.56349
1.77	1.56337
1.78	1.56328
1.79	1.56336
1.80	1.56314
1.81	1.56316
1.82	1.56293
1.83	1.56309
1.84	1.56296
1.85	1.56285
1.86	1.56279
1.87	1.56320
1.88	1.56337
1.89	1.56296
1.90	1.56302
1.91	1.56310
1.92	1.56270
1.93	1.56293
1.94	1.56262
1.95	1.56275
1.96	1.56273
1.97	1.56303
1.98	1.56332
1.99	1.56277
2.00	1.56256
2.0097	1.58013
2.0190	1.57816
2.0285	1.57629
2.0381	1.57637
2.0478	1.57668
2.0575	1.57491
2.0673	1.57307
2.0773	1.57276
2.0873	1.57268
2.0975	1.56960
2.1077	1.56498
2.1180	1.56087
2.1285	1.55940
2.1390	1.56039
2.1496	1.56007
2.1568	1.55891
2.1676	1.55850
2.1785	1.55899
2.1896	1.55948
2.1970	1.55989
2.2082	1.55992
2.2196	1.55973
2.2272	1.55961
2.2387	1.55943
2.2465	1.55951
2.2582	1.55937
2.2661	1.55898
2.2781	1.55863
2.2861	1.55819
2.2983	1.55770
2.3065	1.55805
2.3188	1.55974
2.3272	1.55972
2.3398	1.55890
2.3482	1.55899
2.3568	1.55953
2.3697	1.55926
2.3784	1.55910
2.3872	1.55927
2.3960	1.55926
2.4093	1.56026
2.4183	1.56061
2.4274	1.55998
2.4365	1.55879
2.4457	1.55783
2.4596	1.55785
2.4690	1.55840
2.4784	1.55913
2.4880	1.55901
2.4975	1.55826
2.5072	1.55814
2.5169	1.55819
2.5268	1.55786
2.5366	1.55789
2.5466	1.55834
2.5567	1.55903
2.5668	1.55995
2.5770	1.56012
2.5873	1.55993
2.5976	1.55931
2.6081	1.55863
2.6186	1.55816
2.6293	1.55779
2.6400	1.55723
2.6454	1.55694
2.6562	1.55653
2.6671	1.55665
2.6782	1.55659
2.6893	1.55643
2.6949	1.55634
2.7061	1.55665
2.7175	1.55711
2.7289	1.55817
2.7347	1.55843
2.7462	1.55782
2.7579	1.55683
2.7697	1.55700
2.7756	1.55730
2.7876	1.55717
2.7996	1.55649
2.8057	1.55653
2.8179	1.55696
2.8240	1.55672
2.8364	1.55635
2.8489	1.55664
2.8551	1.55686
2.8678	1.55703
2.8741	1.55694
2.8869	1.55628
2.8998	1.55591
2.9063	1.55585
2.9194	1.55621
2.9260	1.55646
2.9393	1.55658
2.9460	1.55647
2.9594	1.55598
2.9662	1.55596
2.9798	1.55631
2.9867	1.55639
2.9936	1.55639
3.0075	1.55579
3.0145	1.55535
3.0286	1.55510
3.0357	1.55549
3.0499	1.55524
3.0571	1.55478
3.0644	1.55469
3.0789	1.55481
3.0863	1.55475
3.0936	1.55461
3.1085	1.55413
3.1159	1.55343
